epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.282,1.80528,1.7008,1.3089,0.70864,0.39841,0.43936,0.21652,1.59785,1.18755,1.26784,0.000665641,0.000665641,0.000665641
2,272.682,1.76569,1.32226,1.26429,0.71614,0.39159,0.44492,0.2276,1.53904,1.09081,1.24537,0.00130593,0.00130593,0.00130593
3,403.962,1.75403,1.26999,1.25543,0.72725,0.40082,0.44902,0.23463,1.53411,1.0618,1.26274,0.00191981,0.00191981,0.00191981
4,536.648,1.72919,1.20793,1.23069,0.68342,0.39503,0.44711,0.24664,1.44313,0.97809,1.19508,0.0018812,0.0018812,0.0018812
5,667.975,1.66154,1.14333,1.21314,0.76111,0.4389,0.49656,0.26192,1.43563,0.92712,1.18708,0.0018416,0.0018416,0.0018416
6,796.882,1.6423,1.11932,1.20309,0.7308,0.41191,0.47331,0.25832,1.42897,0.93879,1.17645,0.001802,0.001802,0.001802
7,929.256,1.63101,1.09693,1.19138,0.73983,0.44083,0.49507,0.26547,1.43982,0.91056,1.18415,0.0017624,0.0017624,0.0017624
8,1061.31,1.62427,1.06326,1.17726,0.78256,0.45601,0.51732,0.28311,1.35281,0.82444,1.13676,0.0017228,0.0017228,0.0017228
9,1194.17,1.58281,1.02299,1.17467,0.80017,0.45481,0.52225,0.29452,1.34749,0.80248,1.13063,0.0016832,0.0016832,0.0016832
10,1326.62,1.58996,1.01482,1.15315,0.78609,0.47565,0.5371,0.29963,1.31075,0.76609,1.11425,0.0016436,0.0016436,0.0016436
11,1459.9,1.56547,0.99777,1.16586,0.7953,0.4753,0.5331,0.29793,1.30503,0.7771,1.11166,0.001604,0.001604,0.001604
12,1589.69,1.53916,0.96962,1.14943,0.80211,0.48349,0.54735,0.30179,1.33085,0.76654,1.12577,0.0015644,0.0015644,0.0015644
13,1722.74,1.51395,0.94478,1.14106,0.79655,0.4753,0.53768,0.29423,1.31585,0.7488,1.11638,0.0015248,0.0015248,0.0015248
14,1853.14,1.52727,0.9454,1.13749,0.79418,0.49313,0.5544,0.31035,1.28546,0.71738,1.10332,0.0014852,0.0014852,0.0014852
15,1986.88,1.52172,0.93083,1.13245,0.78689,0.48325,0.5458,0.31274,1.2541,0.72432,1.09239,0.0014456,0.0014456,0.0014456
16,2121.82,1.49348,0.91716,1.1257,0.80427,0.49289,0.5587,0.31426,1.266,0.71195,1.08654,0.001406,0.001406,0.001406
17,2257.38,1.50696,0.91777,1.1271,0.8038,0.48385,0.55145,0.31089,1.30315,0.73074,1.11066,0.0013664,0.0013664,0.0013664
18,2392.69,1.4735,0.90013,1.11906,0.7852,0.49602,0.55599,0.31567,1.25136,0.71239,1.08326,0.0013268,0.0013268,0.0013268
19,2530.29,1.47109,0.89007,1.1205,0.80272,0.47987,0.53408,0.30416,1.28818,0.69108,1.09368,0.0012872,0.0012872,0.0012872
20,2665.83,1.49234,0.89151,1.1124,0.80311,0.51,0.56959,0.32322,1.23835,0.68848,1.07206,0.0012476,0.0012476,0.0012476
21,2803.5,1.44366,0.86468,1.10245,0.80841,0.51145,0.57764,0.32397,1.24695,0.65819,1.07816,0.001208,0.001208,0.001208
22,2939,1.4575,0.8652,1.1053,0.81189,0.50661,0.56659,0.32723,1.222,0.66712,1.06666,0.0011684,0.0011684,0.0011684
23,3072.6,1.46459,0.8622,1.09904,0.79421,0.51338,0.57101,0.32558,1.24355,0.6656,1.07206,0.0011288,0.0011288,0.0011288
